class,precision,recall,f1,support
palm,0.9648,0.9798,0.9722,5006
rock,0.9332,0.9383,0.9357,4972
pinkie,0.9490,0.8989,0.9233,5095
one,0.9093,0.9408,0.9248,4998
fist,0.9760,0.9804,0.9782,4904
others,0.8835,0.8780,0.8807,5025

macro_avg,0.9360,0.9360,0.9358,30000
accuracy,,,0.9357,30000
