GT \ Pred,palm,rock,pinkie,one,fist,others
palm,4904,2,3,16,11,64
rock,6,4715,74,91,5,109
pinkie,2,116,4505,105,29,243
one,2,71,63,4693,19,152
fist,2,7,20,28,4895,48
others,156,120,79,216,52,4377
