class,precision,recall,f1,support
palm,0.9669,0.9808,0.9738,5000
rock,0.9372,0.9430,0.9401,5000
pinkie,0.9496,0.9010,0.9247,5000
one,0.9114,0.9386,0.9248,5000
fist,0.9769,0.9790,0.9779,5000
others,0.8766,0.8754,0.8760,5000

macro_avg,0.9364,0.9363,0.9362,30000
accuracy,,,0.9363,30000
