GT \ Pred,palm,rock,pinkie,one,fist,others
palm,4904,1,3,12,11,69
rock,7,4706,74,92,6,115
pinkie,2,112,4505,104,28,249
one,2,75,54,4684,17,168
fist,1,7,23,26,4889,54
others,146,110,71,208,47,4418
