conf_threshold,precision,recall,f1,fp_per_image,mean_iou,recall_small,recall_medium,recall_large,map50,map5095
0.05,0.2869822485207101,0.8673621460506706,0.4312708410522416,2.13905325443787,0.7995769796297723,0.7167381974248928,0.9282511210762332,0.9674418604651163,0.8169357776641846,0.4578687767498195
0.1,0.2901296111665005,0.8673621460506706,0.43481509152035863,2.106508875739645,0.7995769796297723,0.7167381974248928,0.9282511210762332,0.9674418604651163,0.8169357776641846,0.4578687767498195
0.15,0.30171073094867806,0.8673621460506706,0.44769230769230767,1.992603550295858,0.7995769796297723,0.7167381974248928,0.9282511210762332,0.9674418604651163,0.8169357776641846,0.4578687767498195
0.2,0.33410138248847926,0.8643815201192251,0.4819277108433735,1.7100591715976332,0.8002181271026875,0.7167381974248928,0.9192825112107623,0.9674418604651163,0.8169357776641846,0.4578687767498195
0.25,0.39986043265875787,0.8539493293591655,0.5446768060836502,1.272189349112426,0.8019173526014957,0.6952789699570815,0.9192825112107623,0.958139534883721,0.8169357776641846,0.4578687767498195
0.3,0.5173357664233577,0.8450074515648286,0.6417657045840407,0.7825443786982249,0.8030003501624657,0.6824034334763949,0.9103139013452914,0.9534883720930233,0.8169357776641846,0.4578687767498195
0.35,0.6614457831325301,0.8181818181818182,0.731512325116589,0.4156804733727811,0.8074079705283507,0.6223175965665236,0.8968609865470852,0.9488372093023256,0.8169357776641846,0.4578687767498195
0.4,0.7656477438136827,0.7839046199701938,0.7746686303387333,0.23816568047337278,0.8105157678344858,0.5450643776824035,0.8834080717488789,0.9395348837209302,0.8169357776641846,0.4578687767498195
0.45,0.8519793459552496,0.7377049180327869,0.7907348242811503,0.12721893491124261,0.8127685035117949,0.4721030042918455,0.852017937219731,0.9069767441860465,0.8169357776641846,0.4578687767498195
0.5,0.9040307101727447,0.7019374068554396,0.7902684563758389,0.07396449704142012,0.8150941702970274,0.4291845493562232,0.8161434977578476,0.8790697674418605,0.8169357776641846,0.4578687767498195
0.55,0.9428571428571428,0.639344262295082,0.7619893428063944,0.038461538461538464,0.8236226643715705,0.33476394849785407,0.7488789237668162,0.8558139534883721,0.8169357776641846,0.4578687767498195
0.6,0.9673366834170855,0.5737704918032787,0.7202993451824135,0.019230769230769232,0.8342424946945983,0.22746781115879827,0.6995515695067265,0.8186046511627907,0.8169357776641846,0.4578687767498195
0.65,0.9910179640718563,0.4932935916542474,0.6587064676616915,0.004437869822485207,0.8374285107292798,0.18025751072961374,0.5874439461883408,0.7348837209302326,0.8169357776641846,0.4578687767498195
0.7,1.0,0.33084947839046197,0.4972004479283314,0.0,0.835119402354902,0.07725321888412018,0.4260089686098655,0.5069767441860465,0.8169357776641846,0.4578687767498195
0.75,1.0,0.19970193740685543,0.3329192546583851,0.0,0.8329542003460785,0.04721030042918455,0.2645739910313901,0.29767441860465116,0.8169357776641846,0.4578687767498195
0.8,1.0,0.08494783904619971,0.1565934065934066,0.0,0.8253107844737538,0.0,0.13452914798206278,0.12558139534883722,0.8169357776641846,0.4578687767498195
0.85,1.0,0.02384500745156483,0.046579330422125184,0.0,0.8218257650732994,0.0,0.05829596412556054,0.013953488372093023,0.8169357776641846,0.4578687767498195
0.9,1.0,0.0014903129657228018,0.002976190476190476,0.0,0.9496266841888428,0.0,0.004484304932735426,0.0,0.8169357776641846,0.4578687767498195
0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8169357776641846,0.4578687767498195
