GT \ Pred,palm,rock,pinkie,one,fist,others
palm,172,0,0,0,0,11
rock,0,157,2,4,1,10
pinkie,0,0,161,3,1,7
one,0,1,4,140,6,22
fist,0,0,1,2,115,13
others,9,5,2,4,6,141
