class,precision,recall,f1,support
palm,0.9503,0.9399,0.9451,183
rock,0.9632,0.9023,0.9318,174
pinkie,0.9471,0.9360,0.9415,172
one,0.9150,0.8092,0.8589,173
fist,0.8915,0.8779,0.8846,131
others,0.6912,0.8443,0.7601,167

macro_avg,0.8930,0.8849,0.8870,1000
accuracy,,,0.8860,1000
