epoch,lr,train_total_loss,train_obj_loss,train_box_loss,train_num_pos,val_total_loss,val_obj_loss,val_box_loss,val_num_pos,val_map50,val_map5095,val_precision,val_recall,val_f1,val_mean_iou,val_center_error_px,val_center_error_px_median,val_center_error_px_p95,val_center_error_norm_diag,val_center_error_norm_diag_median,val_center_error_norm_diag_p95,val_fp_per_image,val_recall_small,val_recall_medium,val_recall_large,val_count_small,val_count_medium,val_count_large,val_best_conf_threshold,val_best_conf_precision,val_best_conf_recall,val_best_conf_f1,val_best_conf_fp_per_image
1,0.001,2.4502020144866683,0.037072513828653904,0.48262590169906616,216.11864406779662,2.1528835079886695,0.00762029436670921,0.42905262925408105,216.72727272727272,3.60954727511853e-05,5.389329056981751e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233,223,215,,,,,
2,0.0009998904513956854,1.9427773507974915,0.005367616002084845,0.38748194504592376,273.8135593220339,1.753587928685275,0.0050899356984618034,0.34969960288567975,251.27272727272728,9.619582851883024e-05,1.960361041710712e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233,223,215,,,,,
3,0.00099956185363438,1.6667365300453316,0.004352565033961151,0.33247678966845495,302.3220338983051,1.5467107187617908,0.004347170195118947,0.30847271193157544,267.90909090909093,0.0010402221232652664,0.000564347063908599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233,223,215,,,,,
4,0.0009990143508499217,1.5079758268291668,0.00365552967177483,0.3008640590360609,314.33898305084745,1.434681621464816,0.0031914919064464893,0.28629802844741126,277.45454545454544,0.04782386124134064,0.022333258774597197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233,223,215,,,,,
5,0.0009982481831951274,1.3987573223598933,0.0033851916017800065,0.2790744233939607,321.6949152542373,1.5533846725117078,0.003067717591131275,0.31006338921460236,274.3636363636364,0.051857657730579376,0.021794422754737752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233,223,215,,,,,
6,0.0009972636867364526,1.2730292728391743,0.00309621747109597,0.25398661297256664,326.1186440677966,1.2710674567656084,0.002984203038398515,0.25361664864149963,288.09090909090907,0.21046367287635803,0.12468123248322058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233,223,215,,,,,
7,0.0009960612933065818,1.2239742642742093,0.0029240142656648056,0.24421004824719186,328.96610169491527,1.2269424796104431,0.002947826890952208,0.24479892985387283,290.72727272727275,0.37267112731933594,0.24508730122761335,0.9655172413793104,0.041728763040238454,0.08000000000000002,0.8558803413595472,3.8200583904981613,3.283383369445801,7.177413797378538,0.004775072988122702,0.0041042292118072515,0.008971767246723172,0.0014792899408284023,0.0,0.09417040358744394,0.03255813953488372,233,223,215,,,,,
8,0.0009946415303150127,1.2110661288439217,0.002825455088957639,0.2416481325181864,332.1186440677966,1.3218587040901184,0.0027536906047978186,0.263821005821228,290.1818181818182,0.49972912669181824,0.29722431756090373,0.9572649572649573,0.16691505216095381,0.28426395939086296,0.8300274988370282,4.0015238736357,4.053666830062866,8.61169452667236,0.005001904842044627,0.005067083537578582,0.01076461815834045,0.0073964497041420114,0.0,0.31390134529147984,0.19534883720930232,233,223,215,,,,,
9,0.0009930050205167172,1.1823883602174663,0.002654880166874599,0.23594669618849026,332.77966101694915,1.183085858821869,0.0024653079771352086,0.23612410642883994,294.3636363636364,0.6095854640007019,0.4127394497161731,0.9506726457399103,0.31594634873323396,0.47427293064876946,0.8620707707585029,3.707660383210992,3.052589178085327,9.227197599411003,0.00463457547901374,0.003815736472606659,0.011533996999263755,0.016272189349112426,0.0,0.4484304932735426,0.5209302325581395,233,223,215,,,,,
10,0.00099115248173898,1.155866418854665,0.002512754710643726,0.23067073170411384,334.89830508474574,1.1895339380611072,0.0024374591885134578,0.23741929233074188,294.90909090909093,0.637944221496582,0.44843253274448214,0.9064516129032258,0.4187779433681073,0.5728848114169215,0.8726882938812636,3.8724821619026604,3.1416068077087402,8.964064598083496,0.004840602702378323,0.0039270085096359255,0.01120508074760437,0.042899408284023666,0.012875536480686695,0.5515695067264574,0.7209302325581395,233,223,215,,,,,
11,0.0009890847265665358,1.163630293587507,0.0024457836594685154,0.2322369028451079,335.3050847457627,1.2089758027683606,0.00243579058653929,0.24130799960006366,295.54545454545456,0.6507492065429688,0.45684535074979066,0.8463541666666666,0.4843517138599106,0.6161137440758294,0.8721221201236431,3.5112121455027507,2.9212698936462402,8.113068771362306,0.004389015181878437,0.0036515873670578004,0.01014133596420288,0.08727810650887574,0.017167381974248927,0.6502242152466368,0.8186046511627907,233,223,215,,,,,
12,0.0009868026619851433,1.1629858926191168,0.0023297996110267054,0.23213122002149034,335.3728813559322,1.1944082325155085,0.0022406583355570383,0.23843351141972977,295.1818181818182,0.691063642501831,0.47873662863858046,0.9076517150395779,0.5126676602086438,0.6552380952380953,0.8675250546183697,3.51080550501383,2.9610378742218018,8.200604963302613,0.004388506881267282,0.003701297342777252,0.010250756204128264,0.051775147928994084,0.012875536480686695,0.7130044843049327,0.8465116279069768,233,223,215,,,,,
13,0.000984307288983751,1.138113679522175,0.00224999157648723,0.22717273513139305,335.89830508474574,1.1606252789497375,0.002220645271749659,0.23168092288754202,296.72727272727275,0.675102710723877,0.48813593335216865,0.8705882352941177,0.5514157973174366,0.6751824817518248,0.8715884171627664,3.641187937759064,3.2353782653808594,7.721495485305787,0.004551484922198834,0.0040442228317260735,0.009651869356632233,0.08136094674556213,0.017167381974248927,0.8116591928251121,0.8604651162790697,233,223,215,,,,,
14,0.0009815997021154301,1.1068107334233948,0.0021645281349419285,0.22092923951351037,338.20338983050846,1.2118276845325122,0.0020578158490190453,0.24195397442037408,295.90909090909093,0.7238909006118774,0.5142061448656022,0.9093023255813953,0.5827123695976155,0.7102633969118982,0.8725312263764384,3.7038223892831437,3.1945528984069824,8.785516738891602,0.00462977798660393,0.003993191123008728,0.010981895923614503,0.057692307692307696,0.13304721030042918,0.8071748878923767,0.8372093023255814,233,223,215,,,,,
15,0.0009786810890172674,1.1120142977116472,0.002069988879927639,0.22198886083344282,336.9491525423729,1.2217692895369097,0.002175439180890945,0.24391877109354193,296.1818181818182,0.7045034766197205,0.44885951178148387,0.8746987951807229,0.5409836065573771,0.6685082872928177,0.8446989993746944,3.6591284071857277,2.768692970275879,9.557591819763182,0.00457391050898216,0.0034608662128448485,0.011946989774703978,0.07692307692307693,0.060085836909871244,0.7847533632286996,0.8093023255813954,233,223,215,,,,,
16,0.0009755527298894293,1.0953990069486328,0.0020013869388849806,0.21867952483185268,337.22033898305085,1.1534083593975415,0.0019147020912813869,0.23029873181473126,296.90909090909093,0.7416030764579773,0.5309100342914462,0.8776824034334764,0.6095380029806259,0.7194371152154793,0.8699509785635838,3.0615749455041144,2.264404535293579,8.789415168762192,0.0038269686818801457,0.0028305056691169737,0.010986768960952738,0.08431952662721894,0.12017167381974249,0.8385650224215246,0.9023255813953488,233,223,215,,,,,
17,0.0009722159969336218,1.0772054902577803,0.0018358022227125653,0.21507393707663325,338.47457627118644,1.1471887881105596,0.0018552652486091988,0.22906669974327087,297.0,0.7605718374252319,0.547747012344189,0.8952772073921971,0.6497764530551415,0.7530224525043178,0.8699088391907718,3.145841768507017,2.3632620573043823,7.342527270317078,0.00393230221063377,0.0029540775716304776,0.009178159087896346,0.07544378698224852,0.24034334763948498,0.8475336322869955,0.8883720930232558,233,223,215,,,,,
18,0.0009686723537511998,1.0753676568047474,0.001806253289125102,0.21471227983296928,338.66101694915255,1.1283951618454673,0.0018535595895214515,0.2253083193844015,297.27272727272725,0.7513035535812378,0.5418300579767674,0.8950749464668094,0.6229508196721312,0.7346221441124781,0.8783490770456324,3.034570590588465,2.418963670730591,7.343817973136899,0.0037932132382355833,0.0030237045884132386,0.009179772466421123,0.07248520710059171,0.2532188841201717,0.8116591928251121,0.827906976744186,233,223,215,,,,,
19,0.0009649233547011815,1.0417936838279336,0.0017480620980199616,0.208009123549623,338.8305084745763,1.1343260515819897,0.0016229751583358104,0.22654061154885727,297.1818181818182,0.8017925024032593,0.5579199900384992,0.9421841541755889,0.6557377049180327,0.773286467486819,0.8646576232530854,3.602551921380853,3.182405114173889,8.044031858444205,0.0045031899017260665,0.003978006392717361,0.010055039823055258,0.03994082840236687,0.27896995708154504,0.8385650224215246,0.8744186046511628,233,223,215,,,,,
20,0.0009609706442184559,1.0464186526961246,0.0016805212767163323,0.20894762621087543,338.6271186440678,1.1241352395577864,0.0016903221998787062,0.22448898580941287,297.72727272727275,0.7857094407081604,0.5329459104221315,0.9443254817987152,0.6572280178837556,0.7750439367311073,0.8611651953656116,2.79170217165035,2.2108407020568848,6.892281532287598,0.0034896277145629387,0.002763550877571106,0.008615351915359497,0.038461538461538464,0.30042918454935624,0.8475336322869955,0.8465116279069768,233,223,215,,,,,
21,0.000956815956092479,1.0376841395588245,0.0016456386311200716,0.2072076994483754,340.0,1.1589263731783086,0.0016750613259236243,0.23145026374946942,297.8181818181818,0.7612326145172119,0.5264717683661729,0.9173913043478261,0.6289120715350224,0.7462422634836429,0.8612683959199354,3.1083974984443583,2.6143789291381836,7.4226815700531,0.003885496873055449,0.0032679736614227295,0.009278351962566374,0.05621301775147929,0.3090128755364807,0.8071748878923767,0.7906976744186046,233,223,215,,,,,
22,0.0009524611127067767,1.0276156330512742,0.0016011215541196072,0.20520290252515824,339.6949152542373,1.0995029319416394,0.0015890697673471136,0.21958277035843243,298.09090909090907,0.814781665802002,0.591787201538682,0.9494736842105264,0.6721311475409836,0.7870855148342059,0.8809116646614413,2.694611222022719,2.1030919551849365,6.404750347137451,0.003368264027528395,0.002628864943981171,0.008005937933921814,0.03550295857988166,0.34334763948497854,0.8071748878923767,0.8883720930232558,233,223,215,,,,,
23,0.0009479080242395866,1.0036045232061612,0.0015403776058643046,0.2004128298011877,339.93220338983053,1.101343577558344,0.0015855065165934238,0.21995160931890662,298.1818181818182,0.7982468008995056,0.5905370163731277,0.9090909090909091,0.6706408345752608,0.7718696397941681,0.8862784662511614,2.6500079902013143,2.1064352989196777,6.270592427253721,0.00331250998775164,0.002633044123649597,0.007838240534067153,0.06656804733727811,0.3261802575107296,0.8475336322869955,0.8604651162790697,233,223,215,,,,,
24,0.0009431586878259915,0.9866656873185756,0.0014845474141697258,0.19703622869515824,339.45762711864404,1.1035553216934204,0.0013951000503518364,0.22043204307556152,297.72727272727275,0.8317455053329468,0.5866612331010401,0.9444444444444444,0.684053651266766,0.7934312878133102,0.8710356746883434,2.8906958342280262,2.293830156326294,7.596500349044796,0.0036133697927850346,0.0028672876954078676,0.009495625436305997,0.03994082840236687,0.3218884120171674,0.8430493273542601,0.9116279069767442,233,223,215,,,,,
25,0.0009382151866819096,0.99298082670923,0.0014734524006213424,0.198301473158901,339.93220338983053,1.115489661693573,0.0014175397968343036,0.22281442040746863,297.8181818181818,0.831572413444519,0.6097204882185906,0.9533898305084746,0.6706408345752608,0.7874015748031495,0.8828360988034143,2.961782755839328,2.471772789955139,7.306660676002499,0.00370222844479916,0.003089715987443924,0.009133325845003124,0.03254437869822485,0.31759656652360513,0.8161434977578476,0.9023255813953488,233,223,215,,,,,
