class,precision,recall,f1,support
palm,1.0000,0.9939,0.9969,163
rock,0.9672,0.9833,0.9752,180
pinkie,0.9677,0.9375,0.9524,160
one,0.9506,0.9686,0.9595,159
fist,1.0000,0.9884,0.9942,172
others,0.9405,0.9518,0.9461,166

macro_avg,0.9710,0.9706,0.9707,1000
accuracy,,,0.9710,1000
