class,precision,recall,f1,support
palm,1.0000,0.9939,0.9969,163
rock,0.9672,0.9833,0.9752,180
pinkie,0.9740,0.9375,0.9554,160
one,0.9451,0.9748,0.9598,159
fist,1.0000,0.9884,0.9942,172
others,0.9461,0.9518,0.9489,166

macro_avg,0.9721,0.9716,0.9717,1000
accuracy,,,0.9720,1000
