epoch,lr,train_total_loss,train_obj_loss,train_box_loss,train_num_pos,val_total_loss,val_obj_loss,val_box_loss,val_num_pos,val_map50,val_map5095,val_precision,val_recall,val_f1,val_mean_iou,val_center_error_px,val_center_error_px_median,val_center_error_px_p95,val_center_error_norm_diag,val_center_error_norm_diag_median,val_center_error_norm_diag_p95,val_fp_per_image,val_recall_small,val_recall_medium,val_recall_large,val_count_small,val_count_medium,val_count_large,val_best_conf_threshold,val_best_conf_precision,val_best_conf_recall,val_best_conf_f1,val_best_conf_fp_per_image
1,0.001,2.5084019975784497,0.023707791198737536,0.4969388410831109,163.65384615384616,2.2392481644948323,0.0029310638705889384,0.44726341366767886,164.13333333333333,0.00011050057219108567,2.123626993588701e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233,223,215,,,,,
2,0.0009998904513956854,1.8929159809381535,0.00283089170877177,0.37801701823870343,214.15384615384616,1.8262927452723186,0.0026698458086078366,0.3647245764732361,189.06666666666666,0.0019375672563910484,0.0006009491025125158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233,223,215,,,,,
3,0.00099956185363438,1.6045891107657018,0.0027048968745825384,0.3203768416857108,233.0,1.5827242533365886,0.0021957766187066835,0.3161056955655416,202.13333333333333,0.08334187418222427,0.038222490248290344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233,223,215,,,,,
4,0.0009990143508499217,1.563631100532336,0.002337906346954883,0.31225863901468426,240.55128205128204,1.6678687651952109,0.002032884893318017,0.333167177438736,206.33333333333334,0.24443919956684113,0.12400646054084064,0.4166666666666667,0.022354694485842028,0.042432814710042434,0.7519978523254395,3.2426944613456725,3.3366787433624268,5.2511568069458,0.004053368076682091,0.004170848429203034,0.00656394600868225,0.03106508875739645,0.03862660944206009,0.026905829596412557,0.0,233,223,215,,,,,
5,0.0009982481831951274,1.5207329468849378,0.0020911304909998598,0.3037283623065704,244.42307692307693,1.4614142576853435,0.0018796565399194756,0.2919069200754166,211.86666666666667,0.38395747542381287,0.22384208773146383,0.8469387755102041,0.12369597615499255,0.21586475942782835,0.833189968603203,2.268562155136143,2.0223681926727295,5.193655872344962,0.002835702693920179,0.002527960240840912,0.006492069840431203,0.022189349112426034,0.14163090128755365,0.2242152466367713,0.0,233,223,215,,,,,
6,0.0009972636867364526,1.4693617453941932,0.001953585440507875,0.2934816345954553,247.4102564102564,1.4293662468592325,0.0018102159801249703,0.28551120261351265,213.8,0.4322815537452698,0.265213337901514,0.8141025641025641,0.18926974664679583,0.30713422007255137,0.8433368670658803,2.7675017787246254,2.3835558891296387,7.285598897933953,0.003459377223405782,0.0029794448614120484,0.009106998622417442,0.042899408284023666,0.12017167381974249,0.42152466367713004,0.023255813953488372,233,223,215,,,,,
7,0.0009960612933065818,1.4122600096922655,0.0018554962693880766,0.28208090441349226,248.82051282051282,1.4018239339192708,0.001643780634428064,0.28003602822621665,213.33333333333334,0.5140266418457031,0.2965615421300754,0.9727891156462585,0.21311475409836064,0.3496332518337408,0.8166445010191911,2.9954431809328654,2.4564223289489746,7.318596315383911,0.003744303976166082,0.0030705279111862185,0.009148245394229888,0.005917159763313609,0.12017167381974249,0.48878923766816146,0.027906976744186046,233,223,215,,,,,
8,0.0009946415303150127,1.4073069875056927,0.0017126808599688304,0.2811188587011435,249.03846153846155,1.3888885498046875,0.0017526090377941728,0.2774271855751673,214.6,0.4015955924987793,0.23339693416792215,0.6867469879518072,0.2548435171385991,0.37173913043478257,0.8173321454148543,3.1200021065292303,2.473637819290161,7.813328504562378,0.0039000026331615363,0.0030920472741127014,0.009766660630702972,0.11538461538461539,0.1888412017167382,0.5695067264573991,0.0,233,223,215,,,,,
9,0.0009930050205167172,1.3751644721397986,0.0016247203964620638,0.2747079489322809,249.10256410256412,1.3221160173416138,0.0015032592617596188,0.2641225516796112,215.13333333333333,0.518963098526001,0.3267643163446337,0.7536945812807881,0.22801788375558868,0.3501144164759725,0.8467759805567124,2.498589908192847,1.923275351524353,7.239675331115723,0.0031232373852410574,0.0024040941894054413,0.009049594163894652,0.07396449704142012,0.16738197424892703,0.49327354260089684,0.018604651162790697,233,223,215,,,,,
10,0.00099115248173898,1.3610744185936756,0.0015080040275978928,0.2719132831463447,250.57692307692307,1.4024645884831746,0.001490907557308674,0.2801947365204493,212.2,0.5349956750869751,0.3170991564722499,0.7570093457943925,0.2414307004470939,0.36610169491525424,0.8250811420105122,3.684934672566108,2.7435606718063354,9.080623817443845,0.004606168340707635,0.003429450839757919,0.011350779771804808,0.07692307692307693,0.1459227467811159,0.4977578475336323,0.07906976744186046,233,223,215,,,,,
