conf_threshold,precision,recall,f1,fp_per_image,mean_iou,recall_small,recall_medium,recall_large,map50,map5095
0.05,0.3136094674556213,0.9478390461997019,0.47128566135605776,2.059171597633136,0.8847677115374392,0.9227467811158798,0.9461883408071748,0.9767441860465116,0.9294555187225342,0.7300787672400475
0.1,0.31407407407407406,0.9478390461997019,0.47181008902077143,2.054733727810651,0.8847677115374392,0.9227467811158798,0.9461883408071748,0.9767441860465116,0.9294555187225342,0.7300787672400475
0.15,0.33722782793414763,0.9463487332339792,0.49725920125293666,1.8461538461538463,0.8852801134267191,0.9227467811158798,0.9461883408071748,0.9720930232558139,0.9294555187225342,0.7300787672400475
0.2,0.3973717146433041,0.9463487332339792,0.5597179374173645,1.4245562130177514,0.8852801134267191,0.9227467811158798,0.9461883408071748,0.9720930232558139,0.9294555187225342,0.7300787672400475
0.25,0.4880123743232792,0.940387481371088,0.6425661914460286,0.9792899408284024,0.8865759926250355,0.9098712446351931,0.9417040358744395,0.9720930232558139,0.9294555187225342,0.7300787672400475
0.3,0.5931882686849574,0.9344262295081968,0.7256944444444445,0.636094674556213,0.8870360838929622,0.9055793991416309,0.9372197309417041,0.9627906976744186,0.9294555187225342,0.7300787672400475
0.35,0.7152777777777778,0.9210134128166915,0.8052117263843649,0.363905325443787,0.8888478177843742,0.8755364806866953,0.9282511210762332,0.9627906976744186,0.9294555187225342,0.7300787672400475
0.4,0.8211382113821138,0.9031296572280179,0.8601845280340668,0.1952662721893491,0.8913512087301059,0.8412017167381974,0.9192825112107623,0.9534883720930233,0.9294555187225342,0.7300787672400475
0.45,0.8939393939393939,0.879284649776453,0.8865514650638617,0.10355029585798817,0.8942057547932964,0.7896995708154506,0.9103139013452914,0.9441860465116279,0.9294555187225342,0.7300787672400475
0.5,0.9424342105263158,0.8539493293591655,0.8960125097732603,0.051775147928994084,0.8973754154449982,0.7510729613733905,0.8968609865470852,0.9209302325581395,0.9294555187225342,0.7300787672400475
0.55,0.9594356261022927,0.8107302533532041,0.8788368336025848,0.034023668639053255,0.8991153829676264,0.6695278969957081,0.8834080717488789,0.8883720930232558,0.9294555187225342,0.7300787672400475
0.6,0.9847619047619047,0.7704918032786885,0.8645484949832776,0.011834319526627219,0.9025323107348651,0.592274678111588,0.8654708520179372,0.8651162790697674,0.9294555187225342,0.7300787672400475
0.65,0.9979296066252588,0.7183308494783904,0.8353552859618717,0.0014792899408284023,0.9071837690855952,0.4978540772532189,0.8340807174887892,0.8372093023255814,0.9294555187225342,0.7300787672400475
0.7,1.0,0.6274217585692996,0.7710622710622711,0.0,0.9103119595600138,0.3776824034334764,0.757847533632287,0.7627906976744186,0.9294555187225342,0.7300787672400475
0.75,1.0,0.4858420268256334,0.6539618856569709,0.0,0.9185046304954342,0.2446351931330472,0.6457399103139013,0.5813953488372093,0.9294555187225342,0.7300787672400475
0.8,1.0,0.28912071535022354,0.4485549132947977,0.0,0.9213162528485367,0.10300429184549356,0.47533632286995514,0.29767441860465116,0.9294555187225342,0.7300787672400475
0.85,1.0,0.14008941877794337,0.24575163398692812,0.0,0.9189448109332551,0.03862660944206009,0.273542600896861,0.11162790697674418,0.9294555187225342,0.7300787672400475
0.9,1.0,0.05067064083457526,0.09645390070921986,0.0,0.9216993047910578,0.0,0.1031390134529148,0.05116279069767442,0.9294555187225342,0.7300787672400475
0.95,1.0,0.0029806259314456036,0.005943536404160476,0.0,0.9395411014556885,0.0,0.008968609865470852,0.0,0.9294555187225342,0.7300787672400475
