image,n_gt,n_pred,tp,fp,fn,pre_ms,infer_ms,post_ms
robby_ball_far0657.png,1,8,1,7,0,1.634,11.005,0.332
pip_ball_size0116.png,1,8,0,8,1,1.634,10.998,0.275
max_ball_feet0186.png,1,8,1,7,0,1.635,10.998,0.345
IMG_20260512_223335.jpg,1,8,0,8,1,1.634,10.999,0.275
max_ball_moving0064.png,1,8,1,7,0,1.634,10.998,0.297
robby_ball_far0633.png,1,8,1,7,0,1.634,10.998,0.309
oisin_ball_robot0941.png,0,8,0,8,0,1.635,10.998,0.273
eliza_ball_line_50083.png,2,8,1,7,1,1.634,10.998,0.240
bs4-328.png,0,8,0,8,0,1.633,10.998,0.153
IMG_20260512_223027~2.jpg,2,8,0,8,2,1.634,10.998,0.333
IMG_20260512_223347~3.jpg,1,8,1,7,0,1.635,10.998,0.268
robby_ball_far0267.png,1,8,1,7,0,1.634,10.998,0.312
robby_rc16_ball0060.png,1,8,1,7,0,1.634,10.998,0.215
max_ball_moving0464.png,1,8,1,7,0,1.635,10.998,0.281
alfie_lm_ball_line0423.png,1,8,1,7,0,1.634,10.998,0.297
eliza_ball_line_50069.png,2,8,2,6,0,1.634,10.998,0.252
robby_rc16_ball20214.png,0,8,0,8,0,1.635,10.998,0.226
max_ball_bottom0232.png,1,8,1,7,0,1.635,10.998,0.219
eobr228.png,1,8,0,8,1,1.634,10.999,0.211
IMG_20260512_223456~3.jpg,2,8,2,6,0,1.634,10.998,0.172
max_ball_moving0257.png,1,8,1,7,0,1.634,10.997,0.273
oisin_ball_robot0491.png,2,8,1,7,1,1.633,10.998,0.271
len_goalie0193.png,1,8,1,7,0,1.634,10.998,0.268
IMG_20260512_223457.jpg,2,8,2,6,0,1.635,10.998,0.232
eliza_ball_line_10186.png,1,8,1,7,0,1.634,10.998,0.196
IMG_20260512_223325.jpg,1,8,1,7,0,1.636,10.998,0.302
robby_ball_far0414.png,1,8,1,7,0,1.633,10.998,0.369
IMG_20260512_223333.jpg,0,8,0,8,0,1.635,10.998,0.301
IMG_20260512_223430~2.jpg,2,8,2,6,0,1.634,10.998,0.320
eliza_ball_line_30187.png,2,8,2,6,0,1.635,10.998,0.239
eliza_ball_line_30227.png,2,8,2,6,0,1.635,10.998,0.198
max_ball_feet0279.png,1,8,1,7,0,1.634,10.998,0.358
len_goalie0449.png,1,8,1,7,0,1.635,10.998,0.224
pip_ball_bottom0059.png,1,8,1,7,0,1.634,10.998,0.212
IMG_20260512_222114.jpg,1,8,1,7,0,1.634,10.998,0.284
pip_natLight_moving_t0591.png,1,8,1,7,0,1.635,10.998,0.181
