conf_threshold,precision,recall,f1,fp_per_image,mean_iou,recall_small,recall_medium,recall_large,map50,map5095
0.05,0.3126232741617357,0.9448584202682563,0.46980363097443495,2.062130177514793,0.875649777684678,0.9055793991416309,0.9596412556053812,0.9720930232558139,0.9275241494178772,0.7094392202794552
0.1,0.3160518444666002,0.9448584202682563,0.47366454986925666,2.029585798816568,0.875649777684678,0.9055793991416309,0.9596412556053812,0.9720930232558139,0.9275241494178772,0.7094392202794552
0.15,0.3425175580767153,0.9448584202682563,0.5027755749405234,1.8002958579881656,0.875649777684678,0.9055793991416309,0.9596412556053812,0.9720930232558139,0.9275241494178772,0.7094392202794552
0.2,0.4011406844106464,0.9433681073025335,0.5629168519341929,1.3979289940828403,0.8760594703009909,0.9055793991416309,0.9596412556053812,0.9674418604651163,0.9275241494178772,0.7094392202794552
0.25,0.49529042386185246,0.940387481371088,0.6488431876606684,0.9511834319526628,0.8761804772632436,0.8969957081545065,0.9596412556053812,0.9674418604651163,0.9275241494178772,0.7094392202794552
0.3,0.6175889328063241,0.9314456035767511,0.7427213309566252,0.5724852071005917,0.877208900642395,0.8927038626609443,0.9417040358744395,0.9627906976744186,0.9275241494178772,0.7094392202794552
0.35,0.7233294255568582,0.9195230998509687,0.8097112860892388,0.34911242603550297,0.8790356992129569,0.8626609442060086,0.9372197309417041,0.9627906976744186,0.9275241494178772,0.7094392202794552
0.4,0.8267929634641408,0.910581222056632,0.8666666666666667,0.1893491124260355,0.8794024573995712,0.8583690987124464,0.9237668161434978,0.9534883720930233,0.9275241494178772,0.7094392202794552
0.45,0.8972809667673716,0.8852459016393442,0.8912228057014253,0.10059171597633136,0.8820538887070486,0.8326180257510729,0.8834080717488789,0.9441860465116279,0.9275241494178772,0.7094392202794552
0.5,0.943089430894309,0.8643815201192251,0.9020217729393468,0.051775147928994084,0.886092723546357,0.7854077253218884,0.8789237668161435,0.9348837209302325,0.9275241494178772,0.7094392202794552
0.55,0.9738675958188153,0.8330849478390462,0.8979919678714858,0.022189349112426034,0.8882929376711359,0.7296137339055794,0.8565022421524664,0.9209302325581395,0.9275241494178772,0.7094392202794552
0.6,0.989010989010989,0.8047690014903129,0.8874281018898931,0.008875739644970414,0.8911491849908122,0.6695278969957081,0.8385650224215246,0.9162790697674419,0.9275241494178772,0.7094392202794552
0.65,0.9899396378269618,0.7332339791356185,0.8424657534246577,0.0073964497041420114,0.8961786476334905,0.5708154506437768,0.7488789237668162,0.8930232558139535,0.9275241494178772,0.7094392202794552
0.7,0.9931350114416476,0.646795827123696,0.7833935018050542,0.004437869822485207,0.9006375752835779,0.40772532188841204,0.6816143497757847,0.8697674418604651,0.9275241494178772,0.7094392202794552
0.75,0.9941690962099126,0.5081967213114754,0.6725838264299803,0.0029585798816568047,0.909531102152514,0.2317596566523605,0.4977578475336323,0.8186046511627907,0.9275241494178772,0.7094392202794552
0.8,0.996,0.3710879284649776,0.5407166123778502,0.0014792899408284023,0.918276108891131,0.1072961373390558,0.25112107623318386,0.7813953488372093,0.9275241494178772,0.7094392202794552
0.85,1.0,0.27123695976154993,0.4267291910902697,0.0,0.933171781537297,0.034334763948497854,0.11210762331838565,0.6930232558139535,0.9275241494178772,0.7094392202794552
0.9,1.0,0.09985096870342772,0.18157181571815717,0.0,0.9400893458679541,0.004291845493562232,0.02242152466367713,0.2837209302325581,0.9275241494178772,0.7094392202794552
0.95,1.0,0.004470938897168405,0.008902077151335312,0.0,0.9289203882217407,0.0,0.0,0.013953488372093023,0.9275241494178772,0.7094392202794552
