model,n_samples,conf,iou_match,map50,precision,recall,f1,mean_iou,center_err_px_mean,center_err_px_median,center_err_px_p95,fp_per_image,ref_map50,ref_precision,ref_recall,ref_f1,ref_mean_iou,ref_center_err_px,ref_fp_per_image,pre_ms_mean,infer_ms_mean,post_ms_mean,infer_ms_p50,infer_ms_p95,params,macc,flash_KB,ram_KB,energy_mJ,results_csv
widthmult075_pruned30_int8,676,0.5,0.5,0.7941,0.8899,0.7228,0.7977,0.8107,2.333,1.407,7.508,0.0888,0.9292,0.9258,0.8733,0.8988,0.8821,2.214,0.0695,1.645,63.629,0.171,63.63,63.63,854991,535101282,833.5,762.1,31.806,software/final_models/ball_detection/20260527-233822-smallimg_size_v2_widthmult075_pruned_30/results_widthmult075_pruned30_int8.csv
smallimgsize_v1_pruned30_int8,676,0.5,0.5,0.7998,0.8920,0.7511,0.8155,0.8138,2.113,1.211,7.409,0.0902,0.9401,0.9318,0.8957,0.9134,0.8847,1.996,0.0651,1.646,74.972,0.170,74.97,74.97,1013727,626240106,989.1,1363.5,37.319,software/final_models/ball_detection/20260527-153020-smallimgsize_v1_pruned_30/results_smallimgsize_v1_int8.csv
smallhead_removed8_int8,676,0.5,0.5,0.6628,0.8240,0.5931,0.6898,0.7471,3.702,2.820,9.213,0.1257,0.8188,0.9065,0.7079,0.7950,0.8132,5.632,0.0725,1.634,10.997,0.242,11.00,11.00,1498622,591896646,1460.7,1944.0,6.256,software/final_models/ball_detection/20260601-050950-smallimag_size_v3_smallhead_removed8/results_smallhead_removed8_int8.csv
smallhead_removed32_int8,676,0.5,0.5,0.7696,0.9111,0.6870,0.7833,0.8075,2.285,1.422,7.111,0.0666,0.9057,0.9464,0.8420,0.8912,0.8658,2.677,0.0473,1.634,12.111,0.321,12.11,12.11,1024574,1116569880,998.7,2031.8,6.836,software/final_models/ball_detection/20260601-074845-smallimag_size_v3_smallhead_removed32/results_smallhead_removed32_int8.csv
smallimgsize_v1_int8,676,0.5,0.5,0.8160,0.9042,0.7452,0.8170,0.8080,2.281,1.344,7.369,0.0784,0.9364,0.9515,0.8763,0.9123,0.8787,2.163,0.0444,1.631,16.126,0.355,16.13,16.13,2086431,1285119270,2034.1,1972.7,8.802,software/final_models/ball_detection/20260527-035002-smallimgsize_v1/results_smallimgsize_v1_unpruned_int8.csv
