image,n_gt,n_pred,tp,fp,fn,pre_ms,infer_ms,post_ms
eliza_ball_line_50059.png,1,8,1,7,0,11.926,7.770,0.768
max_ball_bottom0261.png,1,8,1,7,0,10.754,7.160,0.739
robby_rc16_ball0601.png,1,7,1,6,0,9.992,6.983,0.665
robby_ball_far0573.png,1,8,1,7,0,10.776,7.074,0.761
eliza_ball_line_50023.png,1,8,1,7,0,11.728,7.516,0.755
len_goalie0447.png,1,8,1,7,0,14.729,8.247,0.819
IMG_20260512_222941~2.jpg,1,8,1,7,0,5.364,7.473,0.955
pip_ball_bottom0229.png,1,8,1,7,0,12.839,7.659,0.811
eliza_ball_01070128.png,1,8,1,7,0,14.392,7.402,0.820
alfie_lm_ball_line0163.png,1,8,1,7,0,16.353,7.238,0.742
IMG_20260512_222411~3.jpg,1,8,1,7,0,5.227,7.674,0.749
IMG_20260512_223334~2.jpg,1,8,1,7,0,5.188,7.509,0.767
oisin_ball_robot0421.png,3,8,3,5,0,10.773,7.050,0.738
max_ball_feet0141.png,1,8,1,7,0,14.668,7.183,0.737
oisin_ball_robot0251.png,2,8,1,7,1,11.495,7.240,0.743
IMG_20260512_222436~2.jpg,2,8,1,7,1,5.229,7.013,0.728
pip_ball_bottom0461.png,1,8,1,7,0,14.757,7.512,0.786
robby_rc16_ball20493.png,1,8,1,7,0,11.229,6.995,0.734
IMG_20260512_223321.jpg,2,8,2,6,0,5.350,7.663,0.755
eliza_ball_line_30199.png,2,8,2,6,0,11.856,7.066,0.731
oisin_ball_robot0681.png,1,8,1,7,0,10.927,6.963,0.726
max_ball_feet0298.png,1,8,1,7,0,14.615,8.055,0.855
IMG_20260512_222613.jpg,0,8,0,8,0,5.580,7.507,0.748
IMG_20260512_223349.jpg,1,8,1,7,0,5.523,7.096,0.835
IMG_20260512_222111.jpg,2,8,2,6,0,5.598,7.134,0.757
robby_rc16_ball20491.png,1,8,1,7,0,11.257,7.164,0.743
pip_ball_bottom0219.png,1,8,1,7,0,12.726,7.749,0.782
IMG_20260512_223025~2.jpg,1,8,1,7,0,5.453,7.408,0.760
eliza_ball_line_10027.png,1,8,1,7,0,13.917,7.271,0.782
eobr994.png,1,8,1,7,0,9.946,7.032,0.749
max_ball_moving0159.png,1,8,1,7,0,11.853,7.066,0.839
oisin_ball_robot0461.png,1,8,1,7,0,10.670,7.098,0.729
pip_ball_bottom0383.png,1,8,1,7,0,14.501,7.125,0.731
IMG_20260512_222934~2.jpg,1,8,1,7,0,5.308,7.067,0.746
alfie_lm_ball_line0507.png,1,8,1,7,0,10.462,7.381,0.755
eliza_ball_01070359.png,1,8,1,7,0,14.474,7.161,0.793
eobr377.png,0,8,0,8,0,10.001,7.157,0.866
IMG_20260512_222422~2.jpg,1,8,1,7,0,5.450,7.813,0.753
IMG_20260512_223332~2.jpg,1,8,1,7,0,5.317,7.068,0.933
IMG_20260512_222507~3.jpg,1,8,1,7,0,5.397,7.009,0.728
bs4-148.png,1,8,1,7,0,9.470,7.071,0.722
eobr200.png,0,8,0,8,0,9.962,7.025,0.743
