class,precision,recall,f1,support
palm,0.8795,0.9621,0.9190,819
rock,0.8252,0.8405,0.8328,809
pinkie,0.8894,0.7257,0.7992,864
one,0.7518,0.8604,0.8024,838
fist,0.7996,0.9621,0.8734,871
others,0.8187,0.5820,0.6803,799

macro_avg,0.8274,0.8221,0.8179,5000
accuracy,,,0.8238,5000
