GT \ Pred,palm,rock,pinkie,one,fist,others
palm,788,4,0,6,10,11
rock,17,680,32,45,19,16
pinkie,1,68,627,51,63,54
one,5,26,23,721,46,17
fist,1,1,5,21,838,5
others,84,45,18,115,72,465
