conf_threshold,precision,recall,f1,fp_per_image,mean_iou,recall_small,recall_medium,recall_large,map50,map5095
0.05,0.3155818540433925,0.9538002980625931,0.4742497221193035,2.0532544378698225,0.8683413518592715,0.9227467811158798,0.9641255605381166,0.9767441860465116,0.9342002868652344,0.7058636099100113
0.1,0.31683168316831684,0.9538002980625931,0.47565960609438873,2.0414201183431953,0.8683413518592715,0.9227467811158798,0.9641255605381166,0.9767441860465116,0.9342002868652344,0.7058636099100113
0.15,0.342443729903537,0.9523099850968704,0.5037445802128498,1.8150887573964498,0.868374248532249,0.9227467811158798,0.9641255605381166,0.9720930232558139,0.9342002868652344,0.7058636099100113
0.2,0.4169402495075509,0.9463487332339792,0.5788514129443938,1.3136094674556213,0.8695749903288413,0.9227467811158798,0.9461883408071748,0.9720930232558139,0.9342002868652344,0.7058636099100113
0.25,0.5514834205933682,0.9418777943368107,0.6956521739130435,0.7603550295857988,0.870948683423332,0.9184549356223176,0.9372197309417041,0.9720930232558139,0.9342002868652344,0.7058636099100113
0.3,0.6695095948827292,0.9359165424739195,0.7806090739589807,0.45857988165680474,0.8724650296435994,0.9098712446351931,0.9282511210762332,0.9720930232558139,0.9342002868652344,0.7058636099100113
0.35,0.7826633165829145,0.9284649776453056,0.8493524199045671,0.2559171597633136,0.8728083880142836,0.8969957081545065,0.9282511210762332,0.9627906976744186,0.9342002868652344,0.7058636099100113
0.4,0.8677918424753868,0.9195230998509687,0.8929088277858176,0.1390532544378698,0.8732400060279636,0.8927038626609443,0.9147982062780269,0.9534883720930233,0.9342002868652344,0.7058636099100113
0.45,0.9082706766917293,0.9001490312965723,0.9041916167664671,0.09023668639053255,0.8777373600874515,0.8454935622317596,0.905829596412556,0.9534883720930233,0.9342002868652344,0.7058636099100113
0.5,0.9563106796116505,0.8807749627421758,0.9169899146625291,0.03994082840236687,0.8802860780617509,0.8025751072961373,0.8968609865470852,0.9488372093023256,0.9342002868652344,0.7058636099100113
0.55,0.9742268041237113,0.8450074515648286,0.9050279329608938,0.022189349112426034,0.8849426661429162,0.7339055793991416,0.8699551569506726,0.9395348837209302,0.9342002868652344,0.7058636099100113
0.6,0.9836660617059891,0.8077496274217586,0.8870703764320785,0.013313609467455622,0.8886311253278458,0.6609442060085837,0.8340807174887892,0.9395348837209302,0.9342002868652344,0.7058636099100113
0.65,0.9940476190476191,0.7466467958271237,0.8527659574468085,0.004437869822485207,0.895490631371915,0.5450643776824035,0.7982062780269058,0.9116279069767442,0.9342002868652344,0.7058636099100113
0.7,0.9934065934065934,0.6736214605067065,0.8028419182948491,0.004437869822485207,0.9014788053732002,0.39914163090128757,0.7488789237668162,0.8930232558139535,0.9342002868652344,0.7058636099100113
0.75,0.9916434540389972,0.5305514157973175,0.69126213592233,0.004437869822485207,0.9134367044722096,0.1630901287553648,0.6278026905829597,0.827906976744186,0.9342002868652344,0.7058636099100113
0.8,0.9924812030075187,0.39344262295081966,0.5635005336179296,0.0029585798816568047,0.9247979210181669,0.034334763948497854,0.4484304932735426,0.7255813953488373,0.9342002868652344,0.7058636099100113
0.85,1.0,0.27421758569299554,0.4304093567251462,0.0,0.9307732390968696,0.012875536480686695,0.2825112107623318,0.5488372093023256,0.9342002868652344,0.7058636099100113
0.9,1.0,0.13710879284649777,0.24115334207077327,0.0,0.9325659249139868,0.0,0.12556053811659193,0.29767441860465116,0.9342002868652344,0.7058636099100113
0.95,1.0,0.0014903129657228018,0.002976190476190476,0.0,0.9541870951652527,0.0,0.0,0.004651162790697674,0.9342002868652344,0.7058636099100113
